country,year,endog_3
Austria,2011,3
Austria,2012,3
Austria,2013,2
Belgium,2011,3
Belgium,2012,3
Belgium,2013,3
Bulgaria,2011,3
Bulgaria,2012,3
Bulgaria,2013,2
Croatia,2010,3
Croatia,2011,2
Croatia,2012,3
Croatia,2013,3
Cyprus,2011,3
Cyprus,2012,3
Cyprus,2013,2
Czech Republic,2011,3
Czech Republic,2012,3
Denmark,2011,2
Denmark,2012,3
Denmark,2013,3
Estonia,2011,2
Estonia,2012,3
Estonia,2013,3
Finland,2011,2
Finland,2012,3
France,2011,3
France,2012,2
Germany,2011,3
Germany,2012,3
Germany,2013,2
Greece,2011,3
Greece,2012,1
Greece,2013,3
Hungary,2011,3
Hungary,2012,3
Ireland,2011,1
Ireland,2012,3
Ireland,2013,3
Italy,2011,3
Italy,2012,3
Italy,2013,2
Latvia,2011,1
Latvia,2012,3
Latvia,2013,3
Lithuania,2011,3
Lithuania,2012,2
Lithuania,2013,3
Luxembourg,2011,3
Luxembourg,2012,3
Malta,2011,3
Malta,2012,3
Netherlands,2011,3
Netherlands,2012,1
Netherlands,2013,3
Poland,2011,3
Poland,2012,3
Portugal,2011,1
Portugal,2012,3
Portugal,2013,3
Romania,2011,3
Romania,2012,2
Romania,2013,3
Slovakia,2011,3
Slovakia,2012,1
Slovakia,2013,3
Slovenia,2011,1
Slovenia,2012,3
Slovenia,2013,3
Spain,2011,1
Spain,2012,3
Spain,2013,3
Sweden,2011,3
Sweden,2012,3
United Kingdom,2011,3
United Kingdom,2012,3
United Kingdom,2013,3